Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
26006016,-20.69,-147.27,810.3,0.00,-585.2,999.5,0.0
26006112,-20.80,-147.59,826.2,0.00,-587.9,1014.0,0.0
26006208,-20.91,-147.65,838.0,0.00,-594.3,1027.3,0.0
26006304,-21.11,-147.70,860.6,0.00,-607.2,1053.3,0.0
26006400,-21.22,-147.85,874.8,0.00,-612.6,1068.0,0.0
26006496,-21.38,-148.04,894.5,0.00,-620.4,1088.6,0.0
26006592,-21.51,-148.11,910.2,0.00,-628.5,1106.1,0.0
26006688,-21.64,-148.23,926.4,0.00,-635.7,1123.5,0.0
26006784,-21.79,-148.12,943.7,0.00,-649.1,1145.4,0.0
26006880,-21.90,-148.29,958.1,0.00,-653.9,1160.0,0.0
26006976,-22.03,-148.42,976.6,0.00,-661.9,1179.8,0.0
26007072,-22.18,-148.64,997.1,0.00,-668.6,1200.5,0.0
26007168,-22.28,-148.60,1009.7,0.00,-677.4,1215.9,0.0
26007264,-22.46,-148.53,1032.4,0.00,-693.1,1243.5,0.0
26007360,-22.59,-148.94,1054.8,0.00,-695.4,1263.4,0.0
26007456,-22.70,-148.86,1068.0,0.00,-705.8,1280.2,0.0
26007552,-22.83,-148.89,1085.7,0.00,-715.6,1300.3,0.0
26007648,-22.96,-148.97,1104.3,0.00,-724.3,1320.6,0.0
26007744,-23.03,-148.95,1113.9,0.00,-730.9,1332.3,0.0
26007840,-23.18,-149.16,1138.2,0.00,-739.4,1357.2,0.0
26007936,-23.29,-149.07,1153.4,0.00,-751.1,1376.5,0.0
26008032,-23.42,-149.24,1174.1,0.00,-758.4,1397.7,0.0
26008128,-23.59,-149.37,1200.4,0.00,-770.0,1426.2,0.0
